,movie_name,release_date,score,genre,budget,revenue,country,release_year,continent,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
250,"Monsters, Inc.",2001-12-26,78.0,"Animation, Comedy, Family",115000000.0,560483719.0,Australia,2001.0,Oceania,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
271,Spider-Man: Into The Spider-Verse,2018-12-13,84.0,"Action, Adventure, Animation, Science Fiction",90000000.0,375540831.0,Australia,2018.0,Oceania,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
283,The Invitation,2022-08-25,64.0,"Horror, Thriller",1000000.0,354836.0,Australia,2022.0,Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
301,Coco,2017-12-26,82.0,"Family, Animation, Fantasy, Music, Comedy, Adventure",175000000.0,797660271.0,Australia,2017.0,Oceania,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
303,Toy Story,1995-12-07,80.0,"Animation, Adventure, Family, Comedy",30000000.0,365270951.0,Australia,1995.0,Oceania,3.0,2.0,2.0,3.0,10.0,6.0,5.0,4.0,2.0,3.0,0.0,7.0,9.0,9.0,5.0,8.0
309,Titanic,1997-12-18,79.0,"Drama, Romance",200000000.0,2222985568.0,Australia,1997.0,Oceania,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
327,The Lion King,1994-08-25,83.0,"Family, Animation, Drama",260000000.0,1647733638.0,Australia,1994.0,Oceania,2.0,0.0,2.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0
328,The Lion King,1994-08-25,83.0,"Family, Animation, Drama",79300000.0,986193783.0,Australia,1994.0,Oceania,2.0,0.0,2.0,3.0,4.0,7.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0
330,Me Before You,2016-06-16,79.0,"Drama, Romance",20000000.0,208064908.0,Australia,2016.0,Oceania,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Ice Age,2002-03-21,73.0,"Animation, Comedy, Family, Adventure",65000000.0,386116343.0,Australia,2002.0,Oceania,0.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0
