,movie_name,release_date,score,genre,budget,revenue,country,release_year
2030,Purpose Of Reunion 2,2017-08-31,47.0,"Drama, Romance",129200000.0,947468745.8,KR,2017.0
2031,Kingdom Of Heaven,2005-05-05,69.0,"Drama, Action, Adventure, History, War",110000000.0,218674938.0,AU,2005.0
2032,Black Hawk Down,2002-02-21,74.0,"Action, History, War",95000000.0,159691085.0,AU,2002.0
2033,The New Mutants,2020-09-03,62.0,"Horror, Science Fiction, Mystery, Action",67000000.0,44608247.0,AU,2020.0
2034,22 Jump Street,2014-06-05,68.0,"Crime, Comedy, Action",50000000.0,331333876.0,AU,2014.0
2035,The Angry Birds Movie 2,2019-09-12,71.0,"Animation, Comedy, Adventure, Family",65000000.0,152255188.0,AU,2019.0
2036,Flipped,2011-01-07,80.0,"Romance, Drama",14000000.0,4294635.0,AU,2011.0
2037,The Handmaiden,2016-06-18,82.0,"Thriller, Drama, Romance",8575000.0,37767206.0,AU,2016.0
2038,Nanny Mcphee,2006-01-12,66.0,"Fantasy, Comedy, Family",25000000.0,128745578.0,AU,2006.0
2039,Jason Goes To Hell: The Final Friday,1993-08-13,45.0,Horror,3000000.0,15935068.0,US,1993.0
2040,The English Patient,1996-11-14,72.0,"Drama, Romance, War",35000000.0,231710008.0,US,1996.0
2041,Universal Soldier: Regeneration,2010-07-14,56.0,"Adventure, Action, Science Fiction, Thriller",14000000.0,875386.0,AU,2010.0
2042,Zeros And Ones,2022-03-01,50.0,"War, Thriller",154600000.0,678277032.0,AU,2022.0
2043,Dark Cloud,2022-06-28,64.0,"Science Fiction, Horror, Mystery, Thriller",126200000.0,381129532.6,US,2022.0
2044,Beautiful Teacher In Torture Hell,1985-12-14,57.0,"Drama, Thriller",109000000.0,385100558.0,JP,1985.0
2045,King Arthur: Legend Of The Sword,2017-05-18,65.0,"Action, Drama, Fantasy",175000000.0,139630336.0,AU,2017.0
2046,Love And Monsters,2021-04-14,74.0,"Comedy, Action, Adventure, Fantasy",30000000.0,1131683.0,AU,2021.0
2047,22 Bullets,2010-03-23,66.0,"Drama, Crime, Thriller",24000000.0,247131881.6,AU,2010.0
